Nama Kecamatan,Total Terkonfirmasi,Total Dalam Perawatan,Total Sembuh,Total Meninggal
NANGGUNG,36,10,26,0
LEUWILIANG,78,6,70,2
LEUWISADENG,30,2,28,0
PAMIJAHAN,45,6,38,1
CIBUNGBULANG,72,12,59,1
CIAMPEA,140,22,114,4
TENJOLAYA,25,4,21,0
DRAMAGA,84,12,72,0
CIOMAS,392,73,312,7
TAMANSARI,82,16,65,1
CIJERUK,22,2,19,1
CIGOMBONG,55,12,43,0
CARINGIN,60,17,43,0
CIAWI,105,18,86,1
CISARUA,68,19,45,4
MEGAMENDUNG,46,14,32,0
SUKARAJA,428,85,338,5
BABAKAN MADANG,106,23,81,2
SUKAMAKMUR,5,1,4,0
CARIU,25,2,21,2
TANJUNGSARI,31,9,21,1
JONGGOL,168,38,126,4
CILEUNGSI,651,103,538,10
KLAPANUNGGAL,166,23,136,7
GUNUNG PUTRI,623,171,434,18
CITEUREUP,273,59,206,8
CIBINONG,1.019,155,849,15
BOJONG GEDE,567,140,408,19
TAJURHALANG,283,64,212,7
KEMANG,133,26,105,2
RANCA BUNGUR,10,0,10,0
PARUNG,171,59,109,3
CISEENG,50,16,32,2
GUNUNG SINDUR,152,43,105,4
RUMPIN,25,4,21,0
CIGUDEG,28,8,20,0
SUKAJAYA,13,2,10,1
JASINGA,52,5,47,0
TENJO,10,4,6,0
PARUNG PANJANG,50,20,27,3
CIEMAS,29,12,17,0
CIRACAP,43,17,26,0
WALURAN,24,9,14,1
SURADE,106,34,72,0
CIBITUNG,47,11,36,0
JAMPANGKULON,97,0,96,1
CIMANGGU,11,3,7,1
KALIBUNDER,2,0,2,0
TEGALBULEUD,2,0,2,0
CIDOLOG,2,2,0,0
SAGARANTEN,23,9,14,0
CIDADAP,7,2,5,0
CURUGKEMBAR,2,1,1,0
PABUARAN,5,3,2,0
LENGKONG,11,2,9,0
PALABUHANRATU,164,22,139,3
SIMPENAN,62,15,47,0
WARUNGKIARA,65,0,65,0
BANTARGADUNG,24,4,20,0
JAMPANGTENGAH,31,0,31,0
PURABAYA,22,0,21,1
CIKEMBAR,263,37,224,2
NYALINDUNG,32,8,24,0
GEGERBITUNG,24,0,24,0
SUKARAJA,184,40,142,2
KEBONPEDES,54,7,47,0
CIREUNGHAS,48,9,39,0
SUKALARANG,37,5,31,1
SUKABUMI,179,33,146,0
KADUDAMPIT,42,9,33,0
CISAAT,311,63,240,8
GUNUNGGURUH,93,23,68,2
CIBADAK,507,28,479,0
CICANTAYAN,92,14,78,0
CARINGIN,26,4,22,0
NAGRAK,126,20,104,2
CIAMBAR,32,4,27,1
CICURUG,354,73,279,2
CIDAHU,85,13,72,0
PARAKANSALAK,37,1,36,0
PARUNGKUDA,154,0,153,1
BOJONGGENTENG,20,0,19,1
KALAPANUNGGAL,21,0,21,0
CIKIDANG,83,33,49,1
CISOLOK,66,9,57,0
CIKAKAK,47,4,43,0
KABANDUNGAN,19,10,9,0
AGRABINTA,4,0,4,0
LELES,0,0,0,0
SINDANGBARANG,4,0,4,0
CIDAUN,25,10,15,0
NARINGGUL,5,1,4,0
CIBINONG,18,2,16,0
CIKADU,11,1,10,0
TANGGEUNG,5,0,5,0
PASIRKUDA,10,3,7,0
KADUPANDAK,6,0,6,0
CIJATI,12,0,11,1
TAKOKAK,28,13,15,0
SUKANAGARA,36,8,28,0
PAGELARAN,17,0,17,0
CAMPAKA,40,3,37,0
CAMPAKAMULYA,4,0,4,0
CIBEBER,56,6,50,0
WARUNGKONDANG,53,10,43,0
GEKBRONG,29,3,26,0
CILAKU,78,5,73,0
SUKALUYU,44,5,39,0
BOJONGPICUNG,21,2,19,0
HAURWANGI,24,7,17,0
CIRANJANG,60,17,43,0
MANDE,32,4,28,0
KARANGTENGAH,229,52,177,0
CIANJUR,315,44,271,0
CUGENANG,54,6,48,0
PACET,112,10,102,0
CIPANAS,157,14,142,1
SUKARESMI,45,9,36,0
CIKALONGKULON,40,2,38,0
CIWIDEY,59,0,59,0
RANCABALI,22,0,22,0
PASIRJAMBU,89,5,84,0
CIMAUNG,115,4,111,0
PANGALENGAN,148,10,138,0
KERTASARI,32,4,28,0
PACET,415,3,412,0
IBUN,87,3,84,0
PASEH,180,27,151,2
CIKANCUNG,123,10,113,0
CICALENGKA,284,11,268,5
NAGREG,109,5,103,1
RANCAEKEK,468,9,455,4
MAJALAYA,230,13,215,2
SOLOKANJERUK,125,4,121,0
CIPARAY,270,8,262,0
BALEENDAH,626,29,593,4
ARJASARI,93,9,84,0
BANJARAN,268,10,256,2
CANGKUANG,156,7,149,0
PAMEUNGPEUK,169,13,155,1
KATAPANG,300,23,277,0
SOREANG,307,19,288,0
KUTAWARINGIN,101,2,99,0
MARGAASIH,574,5,567,2
MARGAHAYU,465,18,445,2
DAYEUHKOLOT,251,14,237,0
BOJONGSOANG,423,10,411,2
CILEUNYI,573,12,559,2
CILENGKRANG,132,4,128,0
CIMENYAN,363,13,349,1
BAYONGBONG,249,41,200,8
CIGEDUG,54,9,43,2
CISURUPAN,99,20,79,0
SUKARESMI,60,12,48,0
SAMARANG,225,49,172,4
PASIRWANGI,106,15,88,3
TAROGONG KIDUL,1.009,206,787,16
TAROGONG KALER,671,95,567,9
GARUT KOTA,770,117,638,15
KARANGPAWITAN,522,71,442,9
WANARAJA,197,31,163,3
SUCINARAJA,48,10,35,3
PANGATIKAN,219,56,160,3
SUKAWENING,204,34,164,6
KARANGTENGAH,47,9,38,0
BANYURESMI,204,36,160,8
LELES,196,20,170,6
