Date,Total Kasus,Meninggal,Sembuh,Aktif,Kasus Baru
19 Mar 2020,309,25,15,269,309
20 Mar 2020,369,32,17,320,60
21 Mar 2020,450,38,20,392,81
22 Mar 2020,514,48,29,437,64
23 Mar 2020,579,49,30,500,65
24 Mar 2020,686,55,30,601,107
25 Mar 2020,790,58,31,701,104
26 Mar 2020,893,78,35,780,103
27 Mar 2020,1046,87,46,913,153
28 Mar 2020,1155,102,59,994,109
29 Mar 2020,1286,114,64,1108,131
30 Mar 2020,1414,122,75,1217,128
31 Mar 2020,1528,136,81,1311,114
1 Apr 2020,1677,157,103,1417,149
2 Apr 2020,1790,170,112,1508,113
3 Apr 2020,1986,181,134,1671,196
4 Apr 2020,2092,191,150,1751,106
5 Apr 2020,2273,198,164,1911,181
6 Apr 2020,2491,209,192,2090,218
7 Apr 2020,2738,221,204,2313,247
8 Apr 2020,2956,240,222,2494,218
9 Apr 2020,3293,280,252,2761,337
10 Apr 2020,3512,306,282,2924,219
11 Apr 2020,3842,327,286,3229,330
12 Apr 2020,4241,373,359,3509,399
13 Apr 2020,4557,399,380,3778,316
14 Apr 2020,4839,459,426,3954,282
15 Apr 2020,5136,469,446,4221,297
16 Apr 2020,5516,496,548,4472,380
17 Apr 2020,5923,520,607,4796,407
18 Apr 2020,6248,535,631,5082,325
19 Apr 2020,6575,582,686,5307,327
20 Apr 2020,6760,590,746,5424,185
21 Apr 2020,7135,616,842,5677,375
22 Apr 2020,7418,635,913,5870,283
23 Apr 2020,7775,647,960,6168,357
24 Apr 2020,8211,689,1002,6520,436
25 Apr 2020,8607,720,1042,6845,396
26 Apr 2020,8882,743,1107,7032,275
27 Apr 2020,9096,765,1151,7180,214
28 Apr 2020,9511,773,1254,7484,415
29 Apr 2020,9771,784,1391,7596,260
30 Apr 2020,10118,792,1522,7804,347
1 Mei 2020,10551,800,1591,8160,433
2 Mei 2020,10843,831,1665,8347,292
3 Mei 2020,11192,845,1876,8471,349
4 Mei 2020,11587,864,1954,8769,395
5 Mei 2020,12071,872,2197,9002,484
6 Mei 2020,12438,895,2317,9226,367
7 Mei 2020,12776,930,2381,9465,338
8 Mei 2020,13112,943,2494,9675,336
9 Mei 2020,13645,959,2607,10079,533
10 Mei 2020,14032,973,2698,10361,387
11 Mei 2020,14265,991,2881,10393,233
12 Mei 2020,14749,1007,3063,10679,484
13 Mei 2020,15438,1028,3287,11123,689
14 Mei 2020,16006,1043,3518,11445,568
15 Mei 2020,16496,1076,3803,11617,490
16 Mei 2020,17025,1089,3911,12025,529
17 Mei 2020,17514,1148,4129,12237,489
18 Mei 2020,18010,1191,4324,12495,496
19 Mei 2020,18496,1221,4467,12808,486
20 Mei 2020,19189,1242,4575,13372,693
21 Mei 2020,20162,1278,4838,14046,973
22 Mei 2020,20796,1326,5057,14413,634
23 Mei 2020,21745,1351,5249,15145,949
24 Mei 2020,22271,1372,5402,15497,526
25 Mei 2020,22750,1391,5642,15717,479
26 Mei 2020,23165,1418,5877,15870,415
27 Mei 2020,23851,1473,6057,16321,686
28 Mei 2020,24538,1496,6240,16802,687
29 Mei 2020,25216,1520,6492,17204,678
30 Mei 2020,25773,1573,7015,17185,557
31 Mei 2020,26473,1613,7308,17552,700
1 Jun 2020,26940,1641,7637,17662,467
2 Jun 2020,27549,1663,7935,17951,609
3 Jun 2020,28233,1698,8406,18129,684
4 Jun 2020,28818,1721,8892,18205,585
5 Jun 2020,29521,1770,9443,18308,703
6 Jun 2020,30514,1801,9907,18806,993
7 Jun 2020,31186,1851,10498,18837,672
8 Jun 2020,32033,1883,10904,19246,847
9 Jun 2020,33076,1923,11414,19739,1043
10 Jun 2020,34316,1959,12129,20228,1240
11 Jun 2020,35295,2000,12636,20659,979
12 Jun 2020,36406,2048,13213,21145,1111
13 Jun 2020,37420,2091,13776,21553,1014
14 Jun 2020,38277,2134,14531,21612,857
15 Jun 2020,39294,2198,15123,21973,1017
16 Jun 2020,40400,2231,15703,22466,1106
17 Jun 2020,41431,2276,16243,22912,1031
18 Jun 2020,42762,2339,16798,23625,1331
19 Jun 2020,43803,2373,17349,24081,1041
20 Jun 2020,45029,2429,17883,24717,1226
21 Jun 2020,45891,2465,18404,25022,862
22 Jun 2020,46845,2500,18735,25610,954
23 Jun 2020,47896,2535,19241,26120,1051
24 Jun 2020,49009,2573,19658,26778,1113
25 Jun 2020,50187,2620,20449,27118,1178
26 Jun 2020,51427,2683,21333,27411,1240
27 Jun 2020,52812,2720,21909,28183,1385
28 Jun 2020,54010,2754,22936,28320,1198
29 Jun 2020,55092,2805,23800,28487,1082
